중요도,CIS담당,구매담당,중분류명,고객약호,자재,내역,생성일,원납기일,변경납기일,총오더수량,환산수량,미납잔량,생산완료요청일,부자재,제조요청여부,현재제조,관리구분,비고,단가,매출
상,이대건,이진희,립글로즈,LCS,9LCS0042010,라카맥시글레이어틴트미니#608위스퍼(일본),2026-01-29,2026-03-13,2026-03-13,20000,20000,20000,2026-03-27,,O,완료,중점관리품목,자재 입고3/27 5천 4/3 잔량,1500,30000000
상,이대건,이진희,립글로즈,LCS,9LCS0041910,라카맥시글레이어틴트미니#607카야(일본),2026-01-29,2026-03-13,2026-03-13,20000,20000,20000,2026-03-27,,O,완료,중점관리품목,,1500,30000000
상,이대건,이진희,립글로즈,LCS,9LCS0041810,라카맥시글레이어틴트미니#606미닝(일본),2026-01-29,2026-03-13,2026-03-13,20000,20000,20000,2026-03-27,,O,완료,중점관리품목,자재 입고3/27 5천 4/3 잔량,1500,30000000
상,이대건,이진희,립글로즈,LCS,9LCS0041710,라카맥시글레이어틴트미니#604미스티(일본),2026-01-29,2026-03-13,2026-03-13,20000,20000,20000,2026-03-27,,O,완료,중점관리품목,자재 입고3/27 5천 4/3 잔량,1500,30000000
상,이대건,이진희,립글로즈,LCS,9LCS0041610,라카맥시글레이어틴트미니#603비비(일본),2026-01-29,2026-03-13,2026-03-13,20000,20000,20000,2026-03-27,,O,완료,중점관리품목,,1500,30000000
상,이대건,이진희,립글로즈,LCS,9LCS0041510,라카맥시글레이어틴트미니#602버니(일본),2026-01-29,2026-03-13,2026-03-13,20000,20000,20000,2026-03-27,,O, 완료,중점관리품목,,1500,30000000
상,이대건,이진희,립글로즈,LCS,9LCS0044210,라카퍼펙트트윈립#901트루피치(일본),2026-02-13,2026-04-03,2026-05-01,30000,60000,30000,2026-03-26,,O,확인중,중점관리품목,신제품/매출 중요 건로 마케터와 함께 진행,3300,99000000
상,이대건,이진희,립글로즈,LCS,9LCS0044310,라카퍼펙트트윈립#902비지코랄(일본),2026-02-13,2026-04-03,2026-05-01,30000,60000,30000,2026-03-26,,O,확인중,중점관리품목,신제품/매출 중요 건로 마케터와 함께 진행,3300,99000000
상,이대건,이진희,립글로즈,LCS,9LCS0044410,라카퍼펙트트윈립#903누드오드(일본),2026-02-13,2026-04-03,2026-05-01,30000,60000,30000,2026-03-26,,O,확인중,중점관리품목,신제품/매출 중요 건로 마케터와 함께 진행,3300,99000000
상,이대건,이진희,립글로즈,LCS,9LCS0044510,라카퍼펙트트윈립#904시티핑크(일본),2026-02-13,2026-04-03,2026-05-01,30000,60000,30000,2026-03-26,,O,확인중,중점관리품목,신제품/매출 중요 건로 마케터와 함께 진행,3300,99000000
상,이대건,이진희,립글로즈,LCS,9LCS0044610,라카퍼펙트트윈립#905로지하이(일본),2026-02-13,2026-04-03,2026-05-01,30000,60000,30000,2026-03-26,,O,확인중,중점관리품목,신제품/매출 중요 건로 마케터와 함께 진행,3300,99000000
상,이대건,이진희,립글로즈,LCS,9LCS0044710,라카퍼펙트트윈립#906솔티피그(일본),2026-02-13,2026-04-03,2026-05-01,30000,60000,30000,2026-03-26,,O,확인중,중점관리품목,신제품/매출 중요 건로 마케터와 함께 진행,3300,99000000
상,이대건,이진희,립글로즈,LCS,9LCS0044810,라카퍼펙트트윈립#907젠틀로즈(일본),2026-02-13,2026-04-03,2026-05-01,30000,60000,30000,2026-03-26,,O,확인중,중점관리품목,신제품/매출 중요 건로 마케터와 함께 진행,3300,99000000
상,이대건,이진희,립글로즈,LCS,9LCS0044910,라카퍼펙트트윈립#908인카페인(일본),2026-02-13,2026-04-03,2026-05-01,30000,60000,30000,2026-03-26,,O,확인중,중점관리품목,신제품/매출 중요 건로 마케터와 함께 진행,3300,99000000
상,이대건,이진희,립글로즈,LCS,9LCS0045110,라카퍼펙트트윈립#910보스체리(일본),2026-02-13,2026-04-03,2026-05-01,30000,60000,30000,2026-03-26,,O,확인중,중점관리품목,신제품/매출 중요 건로 마케터와 함께 진행,3300,99000000
상,이대건,이진희,립글로즈,LCS,9LCS0045010,라카퍼펙트트윈립#909길티모브(일본),2026-02-13,2026-04-03,2026-05-01,30000,60000,30000,2026-03-26,,O,확인중,중점관리품목,신제품/매출 중요 건로 마케터와 함께 진행,3300,99000000
중,최윤호,전영환,튜브,OLV,9OLV1075110,올리브영식물나라가벼운수분선젤60ML더블기획(1+1),2025-12-30,2026-04-13,2026-04-13,30000,60000,30000,2026-04-10,,O,2026-03-25,중점관리품목,시스킨 생산,4660,139800000
중,최윤호,전영환,튜브,OLV,9OLV1075010,올리브영식물나라가벼운수분선젤60ML,2025-12-30,2026-04-13,2026-04-13,8000,8000,8000,2026-04-10,,O,2026-03-25,중점관리품목,시스킨 생산,2438,19504000
상,민예지,김현우,틴트/컨실러,BAR,9BAR0015410,바람디어달리아페탈드롭리퀴드블러쉬#헤이지,2026-03-16,2026-04-23,2026-04-23,3000,3000,3000,2026-04-23,,O,2026-04-06,중점관리품목,,2840,8520000
상,민예지,김현우,틴트/컨실러,BAR,9BAR0013010,바람디어달리아페탈드롭리퀴드블러쉬#딜라잇,2026-03-16,2026-04-23,2026-04-23,3000,3000,3000,2026-04-23,,O,2026-04-01,중점관리품목,,3384,10152000
중,조경수,김현우,튜브,CHA,9CHA0001811,창앤컴퍼니브리오뎀안티헤어로스&댄드러프스칼프샴푸200ML(수출),2025-09-11,2026-01-15,2026-03-01,3500,3500,3500,2026-04-24,,X,,중점관리품목,,3000,10500000
중,조경수,김현우,튜브,CHA,9CHA0001911,창앤컴퍼니브리오뎀안티헤어로스&댄드러프스칼프컨디셔너150ML(수출),2025-09-11,2026-03-01,2026-03-01,3500,3500,3500,2026-04-24,,X,,중점관리품목,,3000,10500000
중,김선영,이진희,튜브,HMS,9HMS0004410,한미사이언스프로캄판테놀립에센스12G(22)(팔탄),2025-12-18,2026-04-22,2026-04-22,36800,36800,36800,2026-04-06,완료,O,2026-03-27,중점관리품목,,1576,57996800
중,김선영,이진희,튜브,HMS,9HMS0004411,한미사이언스프로캄판테놀립에센스12G(22)(진위),2025-12-18,2026-04-22,2026-04-22,4240,4240,4240,2026-04-06,완료,O,2026-03-27,중점관리품목,,1576,6682240
하,김덕일,심민아,튜브,CSA,9CSA0038910,CSA코스믹원더바스약산성PHA클렌징폼130ML,2025-11-26,2026-02-05,2026-04-01,20600,20600,20600,2026-04-10,,O,,중점관리품목,,1819,37471400
상,김선영,심민아,파우더성형_일반,JSM,9JSM0102910,정샘물아티스트아이팔레트코어#베일누드,2026-02-12,2026-03-28,2026-04-01,7000,7000,7000,2026-04-07,2026-03-25,O,3/23~3/25,중점관리품목,신제품,7000,49000000
상,김선영,심민아,파우더성형_일반,JSM,9JSM0102710,정샘물아티스트아이팔레트코어#오렌지브라운,2026-02-12,2026-03-28,2026-04-01,7000,7000,7000,2026-04-07,2026-03-25,O,3/23~3/25,중점관리품목,신제품,7000,49000000
중,김덕일,배승원,마스크시트,DNC,9DNC0047710,디엔코스메틱스이지듀베리어리페어마스크(4매),2026-03-04,2026-04-24,2026-04-14,5000,4000,5000,2026-04-14,,O,,중점관리품목,,1738,8690000
상,김덕일,배승원,기초,DNC,9DNC0071610,디엔코스메틱스이지듀이지에프엑스다운타임앰플포스트스킨부스터10ML,2026-03-11,2026-03-31,2026-04-01,5000,5000,5000,2026-04-03,,O,,중점관리품목,,2295,11475000
상,김덕일,배승원,기초,DNC,9DNC0071810,디엔코스메틱이지듀이지에프엑스다운타임앰플포스트레이저10ML*실용량,2026-03-11,2026-03-31,2026-04-01,5000,5000,5000,2026-04-03,,O,,중점관리품목,,2295,11475000
상,김덕일,배승원,견본_용기,DNC,9DNC0071910,디엔코스메틱스이지듀이지에프엑스다운타임앰플포스트엘써마10ML,2026-03-11,2026-03-31,2026-04-01,5000,,5000,2026-04-03,,O,,중점관리품목,,200,1000000
중,김덕일,배승원,기초,DNC,9DNC0059910,이지듀디더블유이지에프비타민C부스팅앰플25_15G(리뉴얼/9310771,2026-02-25,2026-04-14,2026-04-14,3000,3000,3000,2026-04-14,,O,2026-03-24,중점관리품목,,4126,12378000
중,김덕일,배승원,견본_용기,DNC,9DNC0060010,이지듀디더블유이지에프비타민C부스팅앰플13G기획(리뉴얼/OY/9311068,2026-02-25,2026-04-14,2026-04-14,3000,3000,3000,2026-04-14,,O,2026-03-24,중점관리품목,,4229,12687000
중,김덕일,배승원,튜브,DNC,9DNC0052010,디엔코스메틱스이지듀멜라글루타치온크림50ML,2026-02-25,2026-04-14,2026-04-14,5000,5000,5000,2026-04-14,,O,2026-03-24,중점관리품목,,2258,11290000
중,김덕일,배승원,튜브,DNC,9DNC0052510,디엔코스메틱스이지듀알엑스포스트레이저센시티브베리어150ML,2026-02-25,2026-04-14,2026-04-14,5000,5000,5000,2026-04-14,,O,2026-03-24,중점관리품목,,7833,39165000
중,김덕일,배승원,견본_용기,DNC,9DNC0054511,DNC이지듀리프트이지에프10코어이펙트크림앰플15ML(25),2026-02-25,2026-04-14,2026-04-14,80000,80000,80000,2026-04-14,,O,2026-03-24,중점관리품목,,3240,259200000
중,김덕일,배승원,기초,DNC,9DNC0056110,DNC이지듀리프트이지에프10코어이펙트앰플30ML(9309213),2026-02-25,2026-04-14,2026-04-14,5000,5000,5000,2026-04-14,,O,2026-03-24,중점관리품목,,3837,19185000
중,김덕일,배승원,견본_파우치,DNC,9DNC0056910,디엔코스메틱스DNC이지듀멜라비토닝유브이선세럼투엑스1ML(샤쉐)*실용량미정,2026-02-25,2026-04-14,2026-04-14,110000,,110000,2026-04-14,,O,2026-03-24,중점관리품목,,130,14300000
중,김덕일,배승원,견본_용기,DNC,9DNC0057010,DNC리프트이지에프10코어이펙트앰플1ML(4EA/25/9310121),2026-02-25,2026-04-14,2026-04-14,5000,,5000,2026-04-14,,O,2026-03-24,중점관리품목,,3257,16285000
중,김덕일,배승원,에어쿠션,DNC,9DNC0055911,디엔코스메틱스이지듀멜라비토닝앰플쿠션23호#베이지(리필/V3#9309904,2026-02-25,2026-04-14,2026-04-14,5000,5000,5000,2026-04-14,,O,2026-03-24,중점관리품목,,2858,14290000
중,김덕일,배승원,에어쿠션,DNC,9DNC0055511,디엔코스메틱스이지듀멜라비토닝앰플쿠션21호#내추럴(본품/V3#9309839,2026-02-25,2026-04-14,2026-04-14,20000,20000,20000,2026-04-14,,O,2026-03-24,중점관리품목,,5176,103520000
중,김선영,심민아,기초,DPL,9DPL0002410,더퓨어랩닥터엘시아345릴리프크림미스트100ML(처방변경)(자급자재),2026-02-20,2026-03-13,2026-04-01,100000,100000,100000,2026-04-10,,O,완료,중점관리품목,,2874,287400000
상,김선영,심민아,기초,DPL,9DPL0002410,더퓨어랩닥터엘시아345릴리프크림미스트100ML(처방변경)(자급자재),2026-03-16,2026-04-24,2026-04-24,100000,100000,100000,2026-04-23,,X,,중점관리품목,,2874,287400000
중,김선영,심민아,튜브,DPL,9DPL0002110,더퓨어랩닥터엘시아피디알엔리쥬5000크림20G (자급자재),2026-03-09,2026-04-13,2026-04-13,50000,50000,50000,2026-04-10,2026-03-30,O,2026-03-27,중점관리품목,,1418,70900000
중,김선영,심민아,튜브,DPL,9DPL0002110,더퓨어랩닥터엘시아피디알엔리쥬5000크림20G (자급자재),2026-03-03,2026-04-08,2026-04-08,100000,100000,100000,2026-04-07,2026-03-25,O,2026-03-27,중점관리품목,,1418,141800000
중,백승윤,지소연,기초,PSP,9PSP0001710,(비건)360퍼스펙티브몽디에스아토로션300ML,2026-02-05,2026-04-07,2026-04-07,80000,80000,80000,2026-04-15,,O,4/1~6,중점관리품목,,4022,321760000
상,김세윤,배지혜,기초,LGC,9LGC1094710,더페이스샵소울시크릿블라썸30ML(24)(NEW)(ODM),2026-03-09,2026-04-27,2026-04-27,6000,6000,6000,2026-04-30,,X,,중점관리품목,,5147,30882000
상,김세윤,배지혜,마스카라,LGC,9LGC1062310,엘지생활건강더페이스샵투인원컬링마스카라#01블랙(ODM),2026-03-09,2026-04-27,2026-04-27,3000,3000,3000,2026-04-30,,X,,중점관리품목,,2445,7335000
상,김세윤,배지혜,붓펜,LGC,9LGC1072610,엘지fmgt잉크그라피리퀴드라이너이엑스#01잉크딥블랙(ODM)[UW],2026-03-09,2026-04-27,2026-04-27,3000,3000,3000,2026-04-30,,X,,중점관리품목,,1872,5616000
상,김세윤,배지혜,파우더성형_소성,LGC,9LGC1086810,엘지글린트베이크드블러쉬#04튤립온(ODM),2026-03-03,2026-04-20,2026-04-20,3000,3000,3000,2026-04-30,,X,,중점관리품목,,2339,7017000
상,김세윤,배지혜,파우더성형_소성,LGC,9LGC1087210,엘지글린트베이크드블러쉬#08코튼멜츠(ODM),2026-03-03,2026-04-20,2026-04-20,3000,3000,3000,2026-04-30,,X,,중점관리품목,,2369,7107000
상,김세윤,배지혜,기초,LGC,9LGC1057210,브이디엘루미레이어프라이머(2018리뉴얼)(OEM),2026-03-03,2026-04-20,2026-04-20,7000,7000,7000,2026-04-30,,X,,중점관리품목,,2683,18781000
하,조경수,심민아,기초,RHN,9RHN0007910,(비건)알에이치앤비프리티액츄얼리인비고레이팅에센스70ML,2026-02-26,2026-03-26,2026-04-01,2000,2000,2000,2026-04-24,,X,,중점관리품목,,3041,6082000
하,조경수,심민아,기초,RHN,9RHN0007210,(비건)알에이치앤비레이티드그린프리티액츄얼리인비고레이팅토너200ML,2026-02-26,2026-03-26,2026-04-01,3000,3000,3000,2026-04-24,,X,,중점관리품목,,2636,7908000
하,조경수,심민아,튜브,RHN,9RHN0007310,(비건)알에이치앤비레이티드그린프리티액츄얼리인비고레이팅젤클렌저150ML,2026-02-26,2026-03-26,2026-04-01,3000,3000,3000,2026-04-24,,X,,중점관리품목,,2358,7074000
하,조경수,심민아,기초,RHN,9RHN0007810,(비건)알에이치앤비프리티액츄얼리인비고레이팅세럼50ML,2026-02-26,2026-03-26,2026-04-01,2000,2000,2000,2026-04-24,,X,,중점관리품목,,2993,5986000
하,조경수,심민아,기초,RHN,9RHN0008210,레이티드그린리얼마리엑스폴리에이팅스칼프샴푸100ML(캡교체)(용매분리),2026-03-17,2026-04-17,2026-04-17,5000,5000,5000,2026-04-24,,X,,중점관리품목,,1633,8165000
하,조경수,심민아,기초,RHN,9RHN0009910,알에이치앤비리얼시어프로틴리차징리브인트리트먼트스프레이80ML,2026-03-17,2026-04-17,2026-04-17,5000,5000,5000,2026-04-24,,X,,중점관리품목,,4219,21095000
하,조경수,심민아,기초,RHN,9RHN0008310,(비건)레이티드그린리얼프룬컬러프로텍팅샴푸100ML(24),2026-03-17,2026-04-17,2026-04-17,5000,5000,5000,2026-04-24,,X,,중점관리품목,,1613,8065000
상,안세연,홍한슬,튜브,FCM,9FCM0024012,포컴퍼니아비브딥클린폼클렌저수분초히알루론폼(주소변경)150ML,2026-03-10,2026-04-24,2026-04-24,23000,23000,23000,2026-04-23,,x,,중점관리품목,수축 필름 사양 일정 지연 증가 관리요청,2008,46184000
상,안세연,홍한슬,튜브,FCM,9FCM0023611,포컴퍼니아비브아크네폼클렌저어성초폼150ML(주소변경),2026-03-10,2026-04-24,2026-04-24,46000,46000,46000,2026-04-23,,x,,중점관리품목,수축 필름 사양 일정 지연 증가 관리요청,2121,97566000
상,안세연,홍한슬,튜브,FCM,9FCM0024013,포컴퍼니아비브딥클린폼클렌저수분초히알루론폼(군납)150ML,2026-03-10,2026-04-24,2026-04-24,10440,10440,10440,2026-04-23,,x,,중점관리품목,수축 필름 사양 일정 지연 증가 관리요청,1985,20723400
상,안세연,사급,기초,SLC,9SLC0065410,서린컴퍼니라운드랩독도토너100ML(미품/코스트코/호주),2026-03-12,2026-04-06,2026-04-06,5140,5140,5140,2026-04-03,2026-03-26,o,,중점관리품목,벌크 재고 사용하여 생산 요청,2284,11739760
상,안세연,홍한슬,에어쿠션,FCM,9FCM0016910,포컴퍼니네이밍레이어드핏쿠션#17@[UW],2026-02-09,2026-03-31,2026-04-01,1500,1500,1500,2026-04-06,,o,3/23~24,중점관리품목,자재 캐파 확보 요청,4145,6217500
상,안세연,홍한슬,에어쿠션,FCM,9FCM0025510,포컴퍼니네이밍레이어드핏쿠션#17Y기획세트[UW],2026-02-09,2026-03-31,2026-04-01,1000,2000,1000,2026-04-06,,o,3/23~24,중점관리품목,자재 캐파 확보 요청,6441,6441000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0038910,포컴퍼니네이밍레이어드핏쿠션#21Y(리필)[UW],2026-02-09,2026-03-27,2026-04-30,3000,3000,3000,2026-04-02,,o,3/23~24,중점관리품목,자재 캐파 확보 요청,2636,7908000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0038911,포컴퍼니네이밍레이어드핏쿠션#21P(리필)[UW],2026-02-09,2026-03-27,2026-04-30,3000,3000,3000,2026-04-02,,o,2026-03-31,중점관리품목,자재 캐파 확보 요청,2636,7908000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0038810,포컴퍼니네이밍레이어드핏쿠션#17Y(리필),2026-02-09,2026-03-31,2026-04-30,1500,1500,1500,2026-04-02,,o,3/23~24,중점관리품목,자재 캐파 확보 요청,2636,3954000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0045010,포컴퍼니네이밍레이어드핏쿠션#19N(리필)[UW],2026-02-09,2026-03-31,2026-04-30,2500,2500,2500,2026-04-02,,o,3/23~24,중점관리품목,자재 캐파 확보 요청,2636,6590000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0081410,포컴퍼니네이밍레이어드핏쿠션(테스터)#19N(OY/포켓몬),2026-02-24,2026-03-27,2026-04-27,1500,1500,1500,2026-04-02,,o,2026-03-23,중점관리품목,행사용 납기 준수 필,4032,6048000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0081310,포컴퍼니네이밍레이어드핏쿠션(테스터)#21P(OY/포켓몬),2026-02-24,2026-03-27,2026-04-27,1500,1500,1500,2026-04-02,,o,2026-03-23,중점관리품목,행사용 납기 준수 필,4032,6048000
상,안세연,홍한슬,에어쿠션,FCM,9FCM0064910,포컴퍼니네이밍제로그래비티커버UP쿠션기획#22N(본품+리필)(UW),2026-03-13,2026-04-24,2026-04-24,1000,2000,1000,2026-04-23,,x,,중점관리품목,자재 캐파 확보 요청,6881,6881000
중,안세연,홍한슬,튜브,FCM,9FCM0023611,포컴퍼니아비브아크네폼클렌저어성초폼150ML(주소변경),2026-02-23,2026-03-30,2026-04-17,10000,10000,10000,2026-04-16,,o,,중점관리품목,,2121,21210000
상,안세연,홍한슬,튜브,FCM,9FCM0023611,포컴퍼니아비브아크네폼클렌저어성초폼150ML(주소변경),2026-02-23,2026-04-17,2026-04-17,36000,36000,36000,2026-04-16,,o,,중점관리품목,수축 필름 사양 일정 지연 증가 관리요청,2121,76356000
상,안세연,홍한슬,튜브,FCM,9FCM0024012,포컴퍼니아비브딥클린폼클렌저수분초히알루론폼(주소변경)150ML,2026-02-23,2026-04-17,2026-04-17,16000,16000,16000,2026-04-16,,x,,중점관리품목,수축 필름 사양 일정 지연 증가 관리요청,2008,32128000
중,백승윤,사급,튜브,ZNC,9ZNC0004210,지놈앤컴퍼니유이크바이옴베리어판텐시브크림50ML(장벽기능/일본),2026-03-05,2026-04-30,2026-04-30,5000,5000,5000,2026-04-30,2026-04-15,X,,중점관리품목,,2400,12000000
상,안세연,사급,튜브,SLC,9SLC0045810,서린컴퍼니라운드랩독도클렌저150ML(부츠)(유럽/영국),2026-02-24,2026-04-10,2026-04-10,7920,7920,7920,2026-04-09,2026-03-20,o,3/31~4/1,중점관리품목,,1130,8949600
상,김현석,지소연,기초,GEN,9GEN0022518,고운세상닥터지레드블레미쉬클리어수딩크림70ML(22)(M)(미품),2025-11-24,2026-04-30,2026-04-23,10200,10200,10200,2026-04-24,,O,,중점관리품목,,2124,21664800
상,박진형,베승원,기초,DPD,9DPD0014716,아누아아젤라익3시카토너250ML(USON/AMZ/V4/AA002101),2026-03-17,2026-04-23,2026-04-23,10000,10000,10000,2026-04-16,,O,,중점관리품목,,2284,22840000
상,안세연,사급,기초,SLC,9SLC0065310,서린컴퍼니라운드랩독도토너200ML(미품/코스트코/호주),2026-03-12,2026-04-06,2026-04-06,10280,10280,10280,2026-04-03,2026-03-26,o,,중점관리품목,벌크 재고 사용하여 생산 요청,2284,23479520
중,이상엽,김현우,스틱밤,ENP,9ENP0079510,엔프라니홀리카홀리카멜팅블러립팟#03뮤브,2024-09-19,2024-11-13,2026-05-01,5150,5150,5150,2026-04-03,,X,,중점관리품목,,3006,15480900
